Date : Fri Oct 13 04:16:02 KST 2017, Who : Patrick, VRCode : STDVIV30, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :STDVIV30, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Alfred, VRCode : MOBSVR70, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Oliver, VRCode : SETOCC00, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Alfred, VRCode : SETOCC01, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Vincent, VRCode : SETOCC02, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :MOBSVR70, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC00, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC01, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Edwin, VRCode : MOBSVR71, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Vincent, VRCode : SETOCC03, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Samuel, VRCode : SETOCC04, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC02, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :MOBSVR71, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Patrick, VRCode : MOBSVR72, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Chris, VRCode : SETOCC05, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Oliver, VRCode : SETOCC06, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : Gabriel, VRCode : MOBSVR73, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Who : David, VRCode : SETOCC07, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC03, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC04, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :MOBSVR72, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Who : Vincent, VRCode : STDVIV31, isRenting : true
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC05, isRenting : false
Date : Fri Oct 13 04:16:02 KST 2017, Count : 1, VRCode :SETOCC06, isRenting : false
